Threshold	Removed_genomes
0	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa GCF_900635705.1.fa GCF_009738085.1.fa GCF_003965345.2.fa GCF_011045335.1.fa GCF_011044215.1.fa GCF_003660125.1.fa GCF_003073995.1.fa GCF_003288475.1.fa GCF_012562255.1.fa GCF_003264955.1.fa GCF_008693905.1.fa GCF_008931645.1.fa GCF_009497055.1.fa GCF_003186565.1.fa GCF_003051945.2.fa GCF_004118875.1.fa GCF_009930935.1.fa GCF_008124025.1.fa GCF_009905155.1.fa GCF_008123985.1.fa GCF_003428425.1.fa GCF_001874505.1.fa GCF_001022015.1.fa GCF_008931405.1.fa GCF_003186415.1.fa GCF_009728975.1.fa GCF_009930835.1.fa
5	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa GCF_900635705.1.fa GCF_009738085.1.fa GCF_003965345.2.fa GCF_011045335.1.fa GCF_011044215.1.fa GCF_003660125.1.fa GCF_003073995.1.fa GCF_003288475.1.fa GCF_003051945.2.fa GCF_003264955.1.fa GCF_009905155.1.fa GCF_004118875.1.fa GCF_003186565.1.fa GCF_012562255.1.fa GCF_003186415.1.fa GCF_008931645.1.fa GCF_009497055.1.fa GCF_008931405.1.fa
10	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa GCF_900635705.1.fa GCF_009738085.1.fa GCF_003965345.2.fa GCF_003660125.1.fa GCF_003051945.2.fa GCF_003264955.1.fa GCF_004118875.1.fa GCF_011045335.1.fa GCF_009905155.1.fa GCF_011044215.1.fa
15	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa GCF_900635705.1.fa
20	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa GCF_900635705.1.fa
25	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_011045355.1.fa GCF_002237465.1.fa
30	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa GCF_002237465.1.fa GCF_011045355.1.fa
35	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa GCF_008931525.1.fa GCF_003408595.1.fa
40	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_003408575.1.fa
45	GCF_006385655.1.fa GCF_003408555.1.fa GCF_008505035.1.fa GCF_008931785.1.fa GCF_003444755.1.fa GCF_003408575.1.fa
50	GCF_006385655.1.fa GCF_003408555.1.fa GCF_003408575.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_008505035.1.fa
55	GCF_006385655.1.fa GCF_003408555.1.fa GCF_003408575.1.fa GCF_003444755.1.fa GCF_008931785.1.fa GCF_008505035.1.fa
60	GCF_006385655.1.fa GCF_003408555.1.fa GCF_003408575.1.fa
65	GCF_006385655.1.fa GCF_003408555.1.fa
70	GCF_006385655.1.fa
75	GCF_006385655.1.fa
80	GCF_006385655.1.fa
85	GCF_006385655.1.fa
90	GCF_006385655.1.fa
95	GCF_006385655.1.fa
100	GCF_006385655.1.fa
105	GCF_006385655.1.fa
110	GCF_006385655.1.fa
115	GCF_006385655.1.fa
120	GCF_006385655.1.fa
125	GCF_006385655.1.fa
130	GCF_006385655.1.fa
135	GCF_006385655.1.fa
140	GCF_006385655.1.fa
145	GCF_006385655.1.fa
150	GCF_006385655.1.fa
155	GCF_006385655.1.fa
160	GCF_006385655.1.fa
165	GCF_006385655.1.fa
170	GCF_006385655.1.fa
175	GCF_006385655.1.fa
180	GCF_006385655.1.fa
185	GCF_006385655.1.fa
190	GCF_006385655.1.fa
195	GCF_006385655.1.fa
