##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR1795072_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1361900
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.62441735810265	33.0	32.0	34.0	29.0	34.0
2	31.955885160437624	33.0	32.0	34.0	30.0	34.0
3	32.20654159629929	33.0	32.0	34.0	32.0	34.0
4	32.45499008737793	33.0	32.0	34.0	32.0	34.0
5	32.357576180336295	33.0	32.0	34.0	32.0	34.0
6	34.769821572802705	37.0	34.0	37.0	32.0	37.0
7	34.84371686614289	37.0	34.0	37.0	32.0	37.0
8	34.6575313899699	37.0	34.0	37.0	32.0	37.0
9	34.75261546369043	37.0	34.0	37.0	32.0	37.0
10-14	35.357590571995004	36.6	35.2	37.4	33.0	37.4
15-19	36.61953256479918	38.0	38.0	38.0	34.4	38.0
20-24	36.78022982597842	38.0	38.0	38.4	34.4	38.4
25-29	36.97403920992731	38.0	38.0	39.0	34.6	39.0
30-34	36.90974741170423	38.0	38.0	39.0	34.4	39.0
35-39	36.80910959031077	38.0	38.0	39.0	34.0	39.0
40-44	36.77823749555738	38.0	38.0	39.0	34.0	39.0
45-49	36.70720394196767	38.0	38.0	39.0	34.0	39.0
50-54	36.56698900960531	38.0	37.0	39.0	33.2	39.0
55-59	36.550159534297165	38.0	37.0	39.0	33.2	39.0
60-64	36.509613236627935	38.0	37.0	39.0	33.0	39.0
65-69	36.496115724999015	38.0	37.0	39.0	33.0	39.0
70-74	36.51079257633257	38.0	37.0	39.0	33.0	39.0
75-79	36.43106814018055	38.0	37.0	39.0	33.0	39.0
80-84	36.34064850536836	38.0	37.0	39.0	32.8	39.0
85-89	36.234268378858374	38.0	37.0	39.0	32.0	39.0
90-94	36.10661596355544	38.0	37.0	39.0	31.2	39.0
95-99	35.98017317566856	38.0	37.0	39.0	30.2	39.0
100-104	35.827278307420805	38.0	37.0	39.0	30.0	39.0
105-109	35.77495694998984	38.0	37.0	39.0	30.0	39.0
110-114	35.66918429156365	38.0	37.0	39.0	29.6	39.0
115-119	35.435532597179034	38.0	37.0	39.0	27.0	39.0
120-124	35.293146099242165	38.0	36.6	39.0	26.6	39.0
125-129	35.0814231973333	38.0	36.0	39.0	26.0	39.0
130-134	34.817718466574924	38.0	35.2	39.0	24.6	39.0
135-139	34.59433417739255	38.0	35.0	38.0	24.0	39.0
140-144	34.35153950737072	37.8	34.2	38.0	24.0	39.0
145-149	34.19322599361037	37.0	34.0	38.0	24.0	39.0
150-154	33.88862522964324	37.0	33.6	38.0	17.4	39.0
155-159	33.64810405813647	37.0	33.0	38.0	15.2	39.0
160-164	33.425767971837885	37.0	33.0	38.0	15.0	39.0
165-169	33.08767212197792	37.0	32.8	38.0	14.2	38.0
170-174	32.76552621061561	37.0	32.0	37.0	14.0	38.0
175-179	32.41723415955694	37.0	31.8	37.0	14.0	38.0
180-184	32.2288092626584	37.0	31.4	37.0	14.0	38.0
185-189	31.992749970944505	37.0	31.0	37.0	14.0	38.0
190-194	31.51442638796262	37.0	28.8	37.0	13.8	37.8
195-199	31.215869841447404	37.0	26.4	37.0	13.0	37.0
200-204	30.89034387722137	37.0	26.0	37.0	13.0	37.0
205-209	30.67911554475331	36.2	26.0	37.0	13.0	37.0
210-214	30.275634184507954	35.8	25.0	37.0	13.0	37.0
215-219	29.87981951847603	34.8	24.2	37.0	13.0	37.0
220-224	29.467079721804062	33.6	24.0	37.0	13.0	37.0
225-229	29.034532525507302	33.0	24.0	37.0	13.0	37.0
230-234	28.5747183222309	33.0	22.2	37.0	12.6	37.0
235-239	28.031208894179816	33.0	14.6	37.0	12.0	37.0
240-244	27.674573440258172	32.0	14.0	37.0	12.0	37.0
245-249	27.133355426487366	32.0	14.0	37.0	12.0	37.0
250-251	24.18916726564659	23.0	13.5	34.5	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.25230872079311695
1101	2	-0.18988207702375703
1101	3	0.06595711783590019
1101	4	0.12576195535066859
1101	5	0.2040081615184306
1101	6	0.18364839480977935
1101	7	0.17363367934578378
1101	8	0.17912102123548124
1101	9	0.019817594148776152
1101	10-14	0.12803722147854302
1101	15-19	0.14976634880505912
1101	20-24	0.14087401576170322
1101	25-29	0.07257269504930974
1101	30-34	0.09420280825159466
1101	35-39	0.1388870904689199
1101	40-44	0.03128191003152381
1101	45-49	-0.0058450470615554195
1101	50-54	-0.01143392718017111
1101	55-59	0.09812337511640123
1101	60-64	0.014588746848922085
1101	65-69	-0.10528638141835955
1101	70-74	-0.07932730999914384
1101	75-79	-0.059849069081487016
1101	80-84	-0.07249954203715703
1101	85-89	0.037014643504086564
1101	90-94	-0.021766216868265076
1101	95-99	-0.13736724821804103
1101	100-104	-0.0895936520229128
1101	105-109	-0.2147237754823692
1101	110-114	-0.2640571597247572
1101	115-119	-0.2321618972795889
1101	120-124	-0.13761339078402557
1101	125-129	-0.09746120550162374
1101	130-134	-0.12349134699558562
1101	135-139	-0.05020944308124342
1101	140-144	-0.06470397722824117
1101	145-149	-0.2308505268116292
1101	150-154	-0.43372436535889847
1101	155-159	-0.14629760153253812
1101	160-164	-0.39007755865497984
1101	165-169	-0.23387531082010327
1101	170-174	-0.16594137687648214
1101	175-179	-0.20104572193336878
1101	180-184	-0.31148846821207954
1101	185-189	-0.2898873522514158
1101	190-194	-0.24050274861760101
1101	195-199	-0.43263898516747545
1101	200-204	-0.03262145583384424
1101	205-209	-0.4906636379424505
1101	210-214	-0.46272648361667024
1101	215-219	-0.23511024721632978
1101	220-224	-0.38710795820608723
1101	225-229	-0.5189053145997562
1101	230-234	-0.3887769089396471
1101	235-239	-0.7329736261463964
1101	240-244	-0.8232045397385086
1101	245-249	-0.7725773149364379
1101	250-251	-0.7020106343402794
1102	1	-0.24828120037978252
1102	2	-0.21696301275344965
1102	3	-0.0898611820362305
1102	4	-0.017986198369065676
1102	5	-0.1626890217910386
1102	6	-0.2587005166675098
1102	7	-0.08201565984570891
1102	8	-0.3306739054400154
1102	9	-0.47105125327821185
1102	10-14	-0.2786397446238169
1102	15-19	-0.2288402609545841
1102	20-24	-0.3967005314773715
1102	25-29	-0.47983385625631314
1102	30-34	-0.40376643813278434
1102	35-39	-0.2743210833497258
1102	40-44	-0.6132677803988287
1102	45-49	-0.5851309812542027
1102	50-54	-0.6842250414058526
1102	55-59	-0.40370813223841395
1102	60-64	-0.7406890844329297
1102	65-69	-0.6744232968688166
1102	70-74	-0.1334907788529307
1102	75-79	0.04232095617155096
1102	80-84	0.05616918861687026
1102	85-89	0.16798106369189014
1102	90-94	0.06174160875799828
1102	95-99	0.29900788125326727
1102	100-104	0.1455438439150356
1102	105-109	0.16688358310332063
1102	110-114	0.10941331070691263
1102	115-119	0.08179892984053794
1102	120-124	0.1690718363595849
1102	125-129	0.271721919595187
1102	130-134	0.1719916937061683
1102	135-139	0.3313330522871567
1102	140-144	0.27926506566194575
1102	145-149	0.31875187607176514
1102	150-154	0.32784974548456347
1102	155-159	0.21242925553001868
1102	160-164	0.2252165542797897
1102	165-169	0.2994888605607784
1102	170-174	0.4679783947466447
1102	175-179	0.18069101508745433
1102	180-184	0.09037932699996531
1102	185-189	0.21552358959865003
1102	190-194	0.5781604973954089
1102	195-199	0.2636881689037942
1102	200-204	0.4315402821905998
1102	205-209	0.30625539271807156
1102	210-214	0.35031996329944803
1102	215-219	0.47210610327507396
1102	220-224	0.38992387249730953
1102	225-229	0.18116348776049662
1102	230-234	0.5972195565912592
1102	235-239	0.5388400646359273
1102	240-244	0.4703930759452426
1102	245-249	0.5131494734097046
1102	250-251	0.40883947445179913
1103	1	-0.0865934164327058
1103	2	-0.21105636664833938
1103	3	0.02681514573723831
1103	4	0.18903424610041242
1103	5	0.22875288688021556
1103	6	0.21503688303795343
1103	7	0.21291172725832297
1103	8	0.1292359032726509
1103	9	0.004452878002261684
1103	10-14	0.17241256672762262
1103	15-19	0.18478198145827918
1103	20-24	0.09798657462044247
