##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR1795073_1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	848614
Sequences flagged as poor quality	0
Sequence length	35-251
%GC	56
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.34414233090663	33.0	32.0	34.0	32.0	34.0
2	32.62021484444046	33.0	32.0	34.0	32.0	34.0
3	32.72986658245092	33.0	32.0	34.0	32.0	34.0
4	32.75084903147957	33.0	32.0	34.0	32.0	34.0
5	32.54424980026255	33.0	32.0	34.0	32.0	34.0
6	35.02520816295748	37.0	34.0	37.0	32.0	37.0
7	35.001680387078224	37.0	34.0	37.0	32.0	37.0
8	34.831471081080444	37.0	33.0	37.0	32.0	37.0
9	34.89217359129121	37.0	34.0	37.0	32.0	37.0
10-14	35.51296231266512	36.6	35.0	37.4	33.4	37.4
15-19	36.840578637637364	38.0	38.0	38.0	36.0	38.0
20-24	37.05643083899158	38.0	38.0	38.4	36.0	38.4
25-29	37.23701140919193	38.0	38.0	39.0	35.8	39.0
30-34	37.196872311793115	38.0	38.0	39.0	35.4	39.0
35-39	37.22044819402867	38.0	38.0	39.0	35.8	39.0
40-44	37.14578109957108	38.0	38.0	39.0	35.2	39.0
45-49	37.207601757265465	38.0	38.0	39.0	36.0	39.0
50-54	37.16957292091733	38.0	38.0	39.0	35.8	39.0
55-59	37.111456062856675	38.0	38.0	39.0	35.6	39.0
60-64	37.099377248435815	38.0	38.0	39.0	35.8	39.0
65-69	37.09706590481317	38.0	38.0	39.0	35.8	39.0
70-74	36.987556518328184	38.0	38.0	39.0	34.4	39.0
75-79	36.960237551288664	38.0	38.0	39.0	34.2	39.0
80-84	36.84030831285052	38.0	38.0	39.0	34.0	39.0
85-89	36.74892369124042	38.0	37.6	39.0	34.0	39.0
90-94	36.65931993976278	38.0	37.6	39.0	33.6	39.0
95-99	36.64801481085193	38.0	37.6	39.0	33.6	39.0
100-104	36.53406985957892	38.0	37.0	39.0	33.2	39.0
105-109	36.42880486021578	38.0	37.0	39.0	32.8	39.0
110-114	36.3541366023566	38.0	37.0	39.0	32.6	39.0
115-119	36.260850817156644	38.0	37.0	39.0	32.4	39.0
120-124	36.095089428930734	38.0	37.0	39.0	31.6	39.0
125-129	35.87113439040199	38.0	37.0	39.0	30.8	39.0
130-134	35.79005383191188	38.0	37.0	39.0	31.0	39.0
135-139	35.687073022920636	38.0	37.0	38.6	30.4	39.0
140-144	35.45369474391462	38.0	37.0	38.0	29.8	39.0
145-149	35.26900935131666	37.6	36.6	38.0	28.6	39.0
150-154	35.08020010509714	37.0	36.0	38.0	27.4	39.0
155-159	34.92610117963363	37.0	35.8	38.0	26.8	39.0
160-164	34.69569005517127	37.0	35.6	38.0	26.0	39.0
165-169	34.525122139013476	37.0	35.2	38.0	25.8	38.2
170-174	34.32973458778552	37.0	35.0	37.8	25.2	38.0
175-179	34.28275708430367	37.0	35.0	37.0	25.4	38.0
180-184	34.05999273188848	37.0	34.2	37.0	24.2	38.0
185-189	33.834385674557446	37.0	33.2	37.0	24.0	38.0
190-194	33.5779828763767	37.0	33.0	37.0	24.0	38.0
195-199	33.47459561730595	37.0	33.0	37.0	24.0	37.4
200-204	33.25106250886985	37.0	33.0	37.0	22.2	37.0
205-209	33.05978159208131	37.0	33.0	37.0	16.6	37.0
210-214	32.986120675686195	37.0	33.0	37.0	14.8	37.0
215-219	32.690820882438416	37.0	32.2	37.0	14.2	37.0
220-224	32.452131962533066	37.0	32.0	37.0	14.0	37.0
225-229	32.342933760614315	37.0	32.0	37.0	14.0	37.0
230-234	32.13617963563471	37.0	31.8	37.0	14.0	37.0
235-239	31.876619379771164	37.0	31.0	37.0	14.0	37.0
240-244	31.65103437451404	37.0	30.6	37.0	14.0	37.0
245-249	31.453284243663056	37.0	29.4	37.0	14.0	37.0
250-251	29.01531557169834	34.5	20.0	37.0	12.5	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.18732389974610442
1101	2	0.1210061871717727
1101	3	0.2726165310308559
1101	4	0.20693003897988405
1101	5	0.3407372955211585
1101	6	0.31053236536736506
1101	7	0.3352546827771121
1101	8	0.3149817211616508
1101	9	0.26188296924212295
1101	10-14	0.21221788344601578
1101	15-19	0.14752978444744969
1101	20-24	0.09850519602599661
1101	25-29	0.24512101197404945
1101	30-34	0.2332508192235423
1101	35-39	-0.021735149373711238
1101	40-44	0.15855663265932662
1101	45-49	0.20035418048404097
1101	50-54	0.19324114282723315
1101	55-59	0.10905704463520749
1101	60-64	0.05786405109206072
1101	65-69	0.128349748490443
1101	70-74	0.1828190382204653
1101	75-79	0.20633891935202797
1101	80-84	0.23192311951227396
1101	85-89	0.21205215282228806
1101	90-94	0.17224321753253946
1101	95-99	0.22884029623906343
1101	100-104	0.18337445869669722
1101	105-109	0.06988401713784498
1101	110-114	0.28561032229021066
1101	115-119	0.24999957487122515
1101	120-124	0.12648024918390632
1101	125-129	0.31039041670720735
1101	130-134	0.08635407497524739
1101	135-139	0.21078669101027714
1101	140-144	0.2508421030126584
1101	145-149	0.3392305625666978
1101	150-154	0.31964563921520295
1101	155-159	0.39459025712798734
1101	160-164	0.3181310649931106
1101	165-169	0.3458326439446324
1101	170-174	0.4255755159216079
1101	175-179	0.3297003502830975
1101	180-184	0.3641216729267569
1101	185-189	0.3859566897490936
1101	190-194	0.09899986860625631
1101	195-199	0.42046848079201027
1101	200-204	0.19327948199396872
1101	205-209	0.38564212208814297
1101	210-214	0.21182758092197673
1101	215-219	0.4413826691008822
1101	220-224	0.1518942036511035
1101	225-229	0.30263221868856505
1101	230-234	0.5164272442155493
1101	235-239	0.5960890186287919
1101	240-244	0.4745558932419307
1101	245-249	0.33060343720460494
1101	250-251	0.33635900140150454
1102	1	0.2849841525269028
1102	2	0.15496146193081017
1102	3	0.18363527734677376
1102	4	0.17164507195160184
1102	5	0.12122654714878678
1102	6	0.03984061447854259
1102	7	0.4638355325980754
1102	8	-0.14900819393265152
1102	9	-0.15177632669266217
1102	10-14	0.007934239106596408
1102	15-19	-0.046631008465524815
1102	20-24	-0.20900429173316581
1102	25-29	-0.3407650861044189
1102	30-34	-0.27364338742045646
1102	35-39	-0.4633112784810507
1102	40-44	-0.37988049473472785
1102	45-49	-0.26129998848910674
1102	50-54	-0.2547577663285807
1102	55-59	-0.47080735344614055
1102	60-64	-0.4760988856645696
1102	65-69	-0.35042821957165415
1102	70-74	-0.2715575363002003
1102	75-79	-0.0521206356383388
1102	80-84	-0.6602653107145287
1102	85-89	-0.5977838953348495
1102	90-94	-0.45083850715809604
1102	95-99	-0.34045609399907306
1102	100-104	-0.674916797671969
1102	105-109	-0.9603044928260758
1102	110-114	-0.2020969416246814
1102	115-119	-0.4536142333825737
1102	120-124	-0.6912878112112821
1102	125-129	-0.6419065460880446
1102	130-134	-0.7388423897519374
1102	135-139	-0.18331281991024184
1102	140-144	-0.12480166652847657
1102	145-149	-0.022456619703902447
1102	150-154	0.03195558534872589
1102	155-159	0.3822677659138449
1102	160-164	0.3071261405442627
1102	165-169	0.15065752958278722
1102	170-174	0.4003930218097409
1102	175-179	0.2887907030797763
1102	180-184	0.281613373218903
1102	185-189	0.41029898474925375
1102	190-194	0.028047316651800713
1102	195-199	0.36027794823532844
1102	200-204	0.121063001915374
1102	205-209	0.5167942128226386
1102	210-214	0.4150810103863378
1102	215-219	0.7266726964258368
1102	220-224	0.18233104235144282
1102	225-229	0.3429386328498012
1102	230-234	0.6876352635518685
1102	235-239	0.6403015127648963
1102	240-244	0.7822564704221513
1102	245-249	0.8328916186131039
1102	250-251	0.7954325417452459
1103	1	0.27124989655571596
1103	2	0.24436064233997
1103	3	0.13321449596843848
1103	4	0.1642373033175275
1103	5	0.3147068603663996
1103	6	0.4154742522224595
1103	7	0.4322679705986374
1103	8	-0.35123639831202524
1103	9	0.07632449426800036
1103	10-14	0.1912087560120952
1103	15-19	0.32591216141903345
1103	20-24	0.08176705403850093
1103	25-29	0.028972275523187818
1103	30-34	0.22568067752655452
