Assembly	final.contigs
# contigs (>= 0 bp)	1005
# contigs (>= 1000 bp)	166
# contigs (>= 5000 bp)	100
# contigs (>= 10000 bp)	74
# contigs (>= 25000 bp)	51
# contigs (>= 50000 bp)	35
Total length (>= 0 bp)	6151770
Total length (>= 1000 bp)	5822905
Total length (>= 5000 bp)	5658698
Total length (>= 10000 bp)	5467515
Total length (>= 25000 bp)	5079005
Total length (>= 50000 bp)	4526032
# contigs	268
Largest contig	295014
Total length	5887036
GC (%)	57.01
N50	109657
N75	55592
L50	16
L75	34
# N's per 100 kbp	0.00
