Threshold	Removed_genomes
0	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa GCF_000764615.1.fa GCF_001644765.1.fa GCF_000807395.2.fa GCF_001482345.1.fa GCF_001646625.1.fa GCF_001307175.1.fa GCF_001022235.1.fa GCF_000364385.3.fa GCF_000739495.1.fa GCF_001022035.1.fa GCF_000775955.1.fa GCF_000814305.1.fa GCF_001648215.1.fa GCF_001456095.3.fa GCF_001455995.1.fa
5	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa GCF_000764615.1.fa GCF_001644765.1.fa GCF_000807395.2.fa GCF_001482345.1.fa GCF_001646625.1.fa GCF_001307175.1.fa GCF_001022235.1.fa GCF_000364385.3.fa
10	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa GCF_000764615.1.fa GCF_001644765.1.fa GCF_000807395.2.fa GCF_001482345.1.fa GCF_001456135.1.fa GCF_001646625.1.fa GCF_001307175.1.fa GCF_001022235.1.fa GCF_000775955.1.fa
15	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa GCF_000764615.1.fa GCF_001644765.1.fa GCF_000807395.2.fa GCF_001456135.1.fa GCF_001482345.1.fa GCF_001646625.1.fa GCF_001307175.1.fa GCF_000775955.1.fa GCF_000814305.1.fa GCF_001022235.1.fa
20	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa GCF_000764615.1.fa GCF_001456135.1.fa GCF_001646625.1.fa GCF_001644765.1.fa GCF_000807395.2.fa GCF_001307175.1.fa GCF_001482345.1.fa GCF_000775955.1.fa
25	GCF_001548315.1.fa GCF_000968155.1.fa GCF_001022175.1.fa
30	GCF_001548315.1.fa GCF_000968155.1.fa
35	GCF_001548315.1.fa GCF_000968155.1.fa
40	GCF_001548315.1.fa GCF_000968155.1.fa
45	GCF_001548315.1.fa GCF_000968155.1.fa
50	GCF_001548315.1.fa
55	GCF_001548315.1.fa
60	GCF_001548315.1.fa
65	GCF_001548315.1.fa
70	GCF_001548315.1.fa
75	GCF_001548315.1.fa
80	GCF_001548315.1.fa
85	GCF_001548315.1.fa
90	GCF_001548315.1.fa
95	GCF_001548315.1.fa
100	GCF_001548315.1.fa
105	
110	
115	
120	
125	
130	
135	
140	
145	
150	
155	
160	
165	
170	
175	
180	
185	
190	
195	
