Threshold	Removed_genomes
0	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa GCF_900637945.1.fa GCF_007632255.1.fa GCF_001571545.2.fa GCF_002796425.1.fa GCF_003812185.1.fa GCF_009732815.1.fa GCF_002948835.2.fa GCF_002796525.1.fa GCF_008931665.1.fa GCF_010509815.1.fa GCF_002591115.1.fa GCF_001021995.1.fa GCF_008693885.1.fa GCF_009732835.1.fa GCF_009909445.1.fa GCF_003071285.1.fa GCF_002796405.1.fa GCF_001593585.2.fa GCF_003546885.1.fa GCF_006874725.1.fa GCF_001559215.2.fa
5	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa GCF_900637945.1.fa GCF_007632255.1.fa GCF_001571545.2.fa GCF_002796425.1.fa GCF_003812185.1.fa GCF_009732815.1.fa GCF_009732835.1.fa GCF_006874725.1.fa GCF_002591115.1.fa GCF_001021995.1.fa GCF_002948835.2.fa GCF_008931665.1.fa
10	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa GCF_900637945.1.fa GCF_006874725.1.fa GCF_001571545.2.fa GCF_002796425.1.fa GCF_002591115.1.fa GCF_009732815.1.fa GCF_007632255.1.fa GCF_009732835.1.fa GCF_001021995.1.fa GCF_008931665.1.fa GCF_003071285.1.fa GCF_009909445.1.fa GCF_010509815.1.fa GCF_002948835.2.fa
15	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa GCF_001571545.2.fa GCF_002796425.1.fa GCF_002591115.1.fa GCF_900637945.1.fa GCF_006874725.1.fa GCF_009732815.1.fa GCF_009732835.1.fa GCF_007632255.1.fa
20	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa
25	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_009732795.1.fa GCF_011067245.1.fa
30	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_011067245.1.fa GCF_009732795.1.fa
35	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_011067245.1.fa GCF_009732795.1.fa
40	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa GCF_011067245.1.fa
45	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa
50	GCF_900636315.1.fa GCF_011604725.1.fa GCF_008727695.1.fa
55	GCF_900636315.1.fa GCF_011604725.1.fa
60	GCF_900636315.1.fa GCF_011604725.1.fa
65	GCF_900636315.1.fa GCF_011604725.1.fa
70	GCF_900636315.1.fa GCF_011604725.1.fa
75	GCF_900636315.1.fa GCF_011604725.1.fa
80	GCF_900636315.1.fa GCF_011604725.1.fa
85	GCF_900636315.1.fa GCF_011604725.1.fa
90	GCF_900636315.1.fa GCF_011604725.1.fa
95	GCF_900636315.1.fa GCF_011604725.1.fa
100	GCF_900636315.1.fa GCF_011604725.1.fa
105	GCF_900636315.1.fa GCF_011604725.1.fa
110	GCF_900636315.1.fa GCF_011604725.1.fa
115	GCF_900636315.1.fa GCF_011604725.1.fa
120	GCF_900636315.1.fa GCF_011604725.1.fa
125	GCF_900636315.1.fa GCF_011604725.1.fa
130	GCF_900636315.1.fa GCF_011604725.1.fa
135	GCF_900636315.1.fa GCF_011604725.1.fa
140	GCF_900636315.1.fa GCF_011604725.1.fa
145	GCF_900636315.1.fa GCF_011604725.1.fa
150	GCF_900636315.1.fa GCF_011604725.1.fa
155	GCF_900636315.1.fa GCF_011604725.1.fa
160	GCF_900636315.1.fa GCF_011604725.1.fa
165	GCF_900636315.1.fa GCF_011604725.1.fa
170	GCF_900636315.1.fa GCF_011604725.1.fa
175	GCF_900636315.1.fa GCF_011604725.1.fa
180	GCF_900636315.1.fa GCF_011604725.1.fa
185	GCF_900636315.1.fa GCF_011604725.1.fa
190	GCF_900636315.1.fa GCF_011604725.1.fa
195	GCF_900636315.1.fa GCF_011604725.1.fa
