gene	PC	NDC
GCF-011682835-protein2920.fasta	1	20
GCF-013745295-protein2821.fasta	1	22
GCF-013791265-protein1728.fasta	2	22
GCF-013796245-protein3149.fasta	2	23
GCF-014189335-protein1803.fasta	2	20
GCF-014189335-protein3144.fasta	2	21
GCF-013745295-protein1431.fasta	3	22
GCF-013796245-protein2914.fasta	3	20
GCF-013791265-protein2985.fasta	3	19
GCF-013791265-protein4818.fasta	3	20
GCF-013783245-protein8074.fasta	4	20
GCF-013791265-protein4822.fasta	4	21
GCF-013737695-protein5870.fasta	4	19
GCF-014189335-protein5232.fasta	4	13
GCF-011682835-protein3235.fasta	6	17
GCF-014168655-protein5667.fasta	6	15
GCF-013792545-protein5750.fasta	8	16
GCF-014169335-protein4279.fasta	8	16
GCF-013796245-protein5016.fasta	11	10
GCF-013796245-protein5136.fasta	11	11
GCF-013792545-protein10196.fasta	12	9
GCF-013796245-protein5157.fasta	12	10
GCF-014169375-protein9758.fasta	22	2
GCF-014169335-protein4291.fasta	23	2
GCF-014168575-protein3685.fasta	23	2
