gene	PC	NDC
GCF-003812185-protein9176.fasta	1	20
GCF-010509815-protein8352.fasta	1	24
GCF-003071285-protein9908.fasta	1	25
GCF-900636315-protein5265.fasta	1	23
GCF-002796425-protein480.fasta	1	24
GCF-008727695-protein9132.fasta	1	25
GCF-008727695-protein9133.fasta	1	25
GCF-011604725-protein8609.fasta	1	23
GCF-002796425-protein476.fasta	1	22
GCF-008727695-protein9124.fasta	1	16
GCF-001593585-protein6727.fasta	1	23
GCF-006874725-protein2126.fasta	1	24
GCF-003071285-protein10006.fasta	1	23
GCF-003071285-protein9989.fasta	1	23
GCF-006874725-protein2118.fasta	1	24
GCF-009732795-protein6813.fasta	1	22
GCF-009732795-protein8937.fasta	1	2
GCF-011067245-protein80.fasta	1	25
GCF-001021995-protein3402.fasta	1	0
GCF-900636315-protein349.fasta	1	25
GCF-007632255-protein6766.fasta	1	5
GCF-900636315-protein2852.fasta	1	25
GCF-011604725-protein9962.fasta	1	23
GCF-003812185-protein5767.fasta	2	17
GCF-900637945-protein8785.fasta	2	24
GCF-007632255-protein8717.fasta	2	24
GCF-900636315-protein4372.fasta	2	23
GCF-008931665-protein3666.fasta	2	23
GCF-011604725-protein9029.fasta	2	24
GCF-008931665-protein4746.fasta	2	23
GCF-900636315-protein5205.fasta	2	24
GCF-009909445-protein2934.fasta	2	1
GCF-011604725-protein10006.fasta	2	23
GCF-001559215-protein6003.fasta	3	2
GCF-007632255-protein5951.fasta	3	22
GCF-009732795-protein5946.fasta	3	1
GCF-900636315-protein3631.fasta	3	22
GCF-009909445-protein1211.fasta	3	1
GCF-900636315-protein2295.fasta	3	22
GCF-001559215-protein7920.fasta	4	22
GCF-900636315-protein4569.fasta	4	21
GCF-002591115-protein3224.fasta	4	21
GCF-003071285-protein8004.fasta	4	22
GCF-002948835-protein2083.fasta	4	21
GCF-008693885-protein993.fasta	4	19
GCF-001559215-protein5294.fasta	5	17
GCF-001559215-protein9023.fasta	5	19
GCF-008693885-protein758.fasta	5	18
GCF-008727695-protein6308.fasta	5	16
GCF-002948835-protein4475.fasta	5	19
GCF-003546885-protein4449.fasta	5	18
GCF-003071285-protein9916.fasta	5	20
GCF-008727695-protein9791.fasta	5	21
GCF-003546885-protein3191.fasta	6	20
GCF-009732795-protein9248.fasta	6	19
GCF-006874725-protein3115.fasta	7	8
GCF-007632255-protein6281.fasta	7	17
GCF-008693885-protein245.fasta	8	17
GCF-008693885-protein4619.fasta	8	17
GCF-008693885-protein994.fasta	8	15
GCF-011067245-protein4712.fasta	8	16
GCF-008727695-protein7617.fasta	8	5
GCF-900636315-protein4749.fasta	8	17
GCF-008931665-protein476.fasta	10	16
GCF-900636315-protein472.fasta	10	15
GCF-003546885-protein3148.fasta	10	16
GCF-006874725-protein2788.fasta	10	16
GCF-008931665-protein1970.fasta	10	15
GCF-900636315-protein2877.fasta	10	15
GCF-006874725-protein4363.fasta	10	3
GCF-011604725-protein8550.fasta	10	14
GCF-009732795-protein8167.fasta	12	11
GCF-900636315-protein3103.fasta	12	14
GCF-009732795-protein9199.fasta	12	14
GCF-001571545-protein439.fasta	12	13
GCF-008727695-protein8090.fasta	12	0
GCF-900636315-protein114.fasta	12	14
GCF-009732815-protein4329.fasta	13	10
GCF-009909445-protein4216.fasta	13	10
GCF-007632255-protein6663.fasta	14	10
GCF-009732795-protein9488.fasta	22	0
GCF-900636315-protein2979.fasta	22	4
GCF-002591115-protein224.fasta	25	1
GCF-900636315-protein5063.fasta	25	0
GCF-002591115-protein3802.fasta	25	1
GCF-900636315-protein2184.fasta	25	0
GCF-009732795-protein5231.fasta	25	1
GCF-900636315-protein2278.fasta	25	0
GCF-009732795-protein6323.fasta	25	1
GCF-900636315-protein4082.fasta	25	0
GCF-009732795-protein9418.fasta	25	1
GCF-900636315-protein3051.fasta	25	0
GCF-009732795-protein9596.fasta	25	1
GCF-900636315-protein2770.fasta	25	0
GCF-009909445-protein1362.fasta	25	0
GCF-900636315-protein2612.fasta	25	1
GCF-009909445-protein1002.fasta	26	0
GCF-900636315-protein2064.fasta	26	0
