Assembly	ERR1795072.contigs	ERR1795073.contigs
# contigs (>= 0 bp)	413	557
# contigs (>= 1000 bp)	119	150
# contigs (>= 5000 bp)	77	86
# contigs (>= 10000 bp)	61	67
# contigs (>= 25000 bp)	41	44
# contigs (>= 50000 bp)	31	33
Total length (>= 0 bp)	5827273	5881752
Total length (>= 1000 bp)	5720389	5730301
Total length (>= 5000 bp)	5621715	5571890
Total length (>= 10000 bp)	5507342	5432736
Total length (>= 25000 bp)	5157139	5053531
Total length (>= 50000 bp)	4827153	4661625
# contigs	143	187
Largest contig	429580	329050
Total length	5735957	5755059
Reference length	16883701	16883701
N50	149488	134791
N75	95965	84908
L50	11	15
L75	23	28
# misassemblies	53	50
# misassembled contigs	30	35
Misassembled contigs length	3409372	3276731
# local misassemblies	41	48
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	13	16
# unaligned contigs	35 + 50 part	55 + 60 part
Unaligned length	645774	635327
Genome fraction (%)	67.410	65.921
Duplication ratio	1.027	1.018
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	1585.29	1477.80
# indels per 100 kbp	30.32	27.31
Largest alignment	256214	231458
Total aligned length	5060348	5111498
NA50	81632	77715
NA75	33557	31521
LA50	21	23
LA75	46	50
