gene	PC	NDC
GCF-000968155-protein4694.fasta	1	19
GCF-001646625-protein3106.fasta	1	18
GCF-000364385-protein3717.fasta	1	16
GCF-000968155-protein2612.fasta	1	15
GCF-000364385-protein5248.fasta	1	14
GCF-000764615-protein5245.fasta	1	13
GCF-001644765-protein7855.fasta	2	12
GCF-001646625-protein4775.fasta	2	17
GCF-000814305-protein8212.fasta	2	10
GCF-000968155-protein2613.fasta	2	16
GCF-000775955-protein8169.fasta	3	13
GCF-001022035-protein9806.fasta	3	7
GCF-000764615-protein5001.fasta	3	11
GCF-000968155-protein5063.fasta	3	14
GCF-000764615-protein5003.fasta	3	10
GCF-001455995-protein10814.fasta	3	13
GCF-001455995-protein10774.fasta	3	14
GCF-001456055-protein5213.fasta	3	17
GCF-000364385-protein2864.fasta	5	10
GCF-001646625-protein474.fasta	5	14
GCF-000364385-protein2187.fasta	6	14
GCF-001455995-protein9001.fasta	6	12
GCF-001022035-protein10317.fasta	6	14
GCF-001022175-protein5283.fasta	6	12
GCF-000807395-protein3356.fasta	6	8
GCF-001456055-protein3198.fasta	6	12
GCF-000764615-protein5018.fasta	7	13
GCF-001644765-protein10612.fasta	7	11
GCF-000739495-protein5619.fasta	7	12
GCF-001022035-protein7333.fasta	7	12
GCF-001022035-protein7301.fasta	7	12
GCF-001644765-protein5517.fasta	7	13
GCF-001022235-protein10463.fasta	7	11
GCF-001022235-protein8281.fasta	7	7
GCF-000807395-protein1174.fasta	8	0
GCF-000968155-protein1131.fasta	8	12
GCF-000775955-protein9075.fasta	10	8
GCF-001482345-protein6901.fasta	10	9
GCF-000364385-protein3402.fasta	10	9
GCF-001022035-protein6904.fasta	10	1
GCF-000775955-protein8516.fasta	11	8
GCF-001644765-protein8343.fasta	11	1
GCF-001548315-protein2040.fasta	18	1
GCF-001644765-protein7005.fasta	18	2
GCF-000807395-protein3076.fasta	19	1
GCF-001548315-protein3262.fasta	19	0
GCF-000807395-protein345.fasta	19	1
GCF-001548315-protein337.fasta	19	0
