gene	PC	NDC
GCF-001646625-protein4847.fasta	1	11
GCF-000775955-protein8169.fasta	1	10
GCF-001022035-protein9806.fasta	1	5
GCF-000807395-protein3343.fasta	1	4
GCF-001644765-protein5532.fasta	1	9
GCF-000364385-protein5255.fasta	1	11
GCF-001455995-protein10736.fasta	1	11
GCF-001022235-protein10709.fasta	1	11
GCF-001455995-protein10714.fasta	1	11
GCF-001455995-protein10774.fasta	2	9
GCF-001456055-protein5213.fasta	2	10
GCF-001482345-protein6229.fasta	3	8
GCF-000739495-protein5619.fasta	3	9
GCF-001022035-protein7333.fasta	3	9
GCF-000807395-protein1174.fasta	3	0
GCF-000968155-protein1131.fasta	3	9
GCF-000807395-protein3356.fasta	3	3
GCF-001456055-protein3198.fasta	3	9
GCF-001022035-protein7301.fasta	3	9
GCF-001644765-protein5517.fasta	3	9
GCF-001022035-protein10317.fasta	3	9
GCF-001022175-protein5283.fasta	3	9
GCF-000364385-protein3717.fasta	4	7
GCF-000968155-protein2612.fasta	4	6
GCF-000968155-protein5222.fasta	4	8
GCF-001482345-protein9613.fasta	4	4
GCF-000364385-protein535.fasta	4	5
GCF-001482345-protein6247.fasta	4	4
GCF-000764615-protein5018.fasta	5	6
GCF-001644765-protein10612.fasta	5	7
GCF-000364385-protein2187.fasta	6	6
GCF-001455995-protein9001.fasta	6	5
GCF-000814305-protein8212.fasta	6	6
GCF-000364385-protein2864.fasta	7	4
GCF-001646625-protein474.fasta	7	4
GCF-000968155-protein2613.fasta	7	5
GCF-000764615-protein5003.fasta	7	4
GCF-001455995-protein10814.fasta	7	4
GCF-000807395-protein214.fasta	7	1
GCF-001548315-protein207.fasta	7	5
GCF-001022235-protein10463.fasta	8	4
GCF-001022235-protein8281.fasta	8	3
GCF-000764615-protein5001.fasta	8	3
GCF-000968155-protein5063.fasta	8	4
GCF-000364385-protein5248.fasta	9	3
GCF-000764615-protein5245.fasta	9	3
GCF-000775955-protein9075.fasta	9	3
GCF-001482345-protein6901.fasta	9	3
GCF-000364385-protein3402.fasta	11	0
GCF-001022035-protein6904.fasta	11	1
GCF-000775955-protein8516.fasta	11	1
GCF-001644765-protein8343.fasta	11	1
GCF-000807395-protein3076.fasta	12	0
GCF-001548315-protein3262.fasta	12	0
GCF-000807395-protein345.fasta	12	0
GCF-001548315-protein337.fasta	12	0
GCF-001548315-protein2040.fasta	12	0
GCF-001644765-protein7005.fasta	12	0
