Threshold	Removed_genomes
0	GCF_013737695.1.fa GCF_014170015.1.fa GCF_013792545.1.fa GCF_014170935.1.fa GCF_014169335.1.fa GCF_013782105.1.fa GCF_014189335.1.fa GCF_014108845.1.fa GCF_013895695.1.fa GCF_014169375.1.fa GCF_013811845.1.fa GCF_014168575.1.fa GCF_011682835.2.fa GCF_013811445.1.fa GCF_013805705.1.fa GCF_013749075.1.fa GCF_013826045.1.fa GCF_013813035.1.fa GCF_013791265.1.fa GCF_014168655.1.fa GCF_013796245.1.fa
5	GCF_013737695.1.fa GCF_014170015.1.fa GCF_013792545.1.fa GCF_014170935.1.fa GCF_014169335.1.fa GCF_013782105.1.fa GCF_014189335.1.fa GCF_014108845.1.fa GCF_013895695.1.fa GCF_014169375.1.fa GCF_014168655.1.fa GCF_014168575.1.fa GCF_013811845.1.fa GCF_013791265.1.fa GCF_011682835.2.fa GCF_013813035.1.fa
10	GCF_013737695.1.fa GCF_014170015.1.fa GCF_013792545.1.fa GCF_014170935.1.fa GCF_014169335.1.fa GCF_013782105.1.fa GCF_014168655.1.fa
15	GCF_013737695.1.fa GCF_013792545.1.fa GCF_014170015.1.fa
20	GCF_013737695.1.fa
25	GCF_013737695.1.fa
30	GCF_013737695.1.fa
35	
40	
45	
50	
55	
60	
65	
70	
75	
80	
85	
90	
95	
100	
105	
110	
115	
120	
125	
130	
135	
140	
145	
150	
155	
160	
165	
170	
175	
180	
185	
190	
195	
