Gene	Total_alleles	Valid_alleles	Number_representatives
GCF-000364385-protein1011	7	7	1
GCF-000364385-protein1351	14	14	1
GCF-000364385-protein1416	12	12	1
GCF-000364385-protein1544	14	14	1
GCF-000364385-protein1572	15	15	1
GCF-000364385-protein1712	15	15	1
GCF-000364385-protein1795	11	11	1
GCF-000364385-protein1965	12	12	1
GCF-000364385-protein2104	10	10	1
GCF-000364385-protein2454	7	7	1
GCF-000364385-protein2459	14	14	1
GCF-000364385-protein2564	16	16	1
GCF-000364385-protein2649	15	15	1
GCF-000364385-protein3012	16	16	1
GCF-000364385-protein3049	14	14	1
GCF-000364385-protein323	13	13	1
GCF-000364385-protein3395	22	22	2
GCF-000364385-protein3557	13	13	1
GCF-000364385-protein371	16	16	1
GCF-000364385-protein385	11	11	1
GCF-000364385-protein3981	12	12	1
GCF-000364385-protein4102	15	15	1
GCF-000364385-protein4232	17	17	1
GCF-000364385-protein442	10	10	1
GCF-000364385-protein4612	8	8	1
GCF-000364385-protein4747	16	16	1
GCF-000364385-protein488	11	11	1
GCF-000364385-protein4959	16	16	1
GCF-000364385-protein5273	4	4	1
GCF-000364385-protein677	15	15	1
GCF-000364385-protein737	8	8	1
GCF-000364385-protein757	15	15	1
GCF-000364385-protein923	16	16	1
GCF-000364385-protein985	16	16	1
GCF-000739495-protein8289	14	14	1
GCF-000739495-protein8971	9	9	1
GCF-000764615-protein1174	7	7	1
GCF-000764615-protein1323	15	15	1
GCF-000764615-protein3347	15	15	1
GCF-000764615-protein558	6	6	1
GCF-000764615-protein910	7	7	1
GCF-000775955-protein10152	15	15	1
GCF-000775955-protein5541	17	17	1
GCF-000775955-protein5969	10	10	1
GCF-000775955-protein6131	14	14	1
GCF-000775955-protein6999	18	18	1
GCF-000775955-protein7156	19	19	1
GCF-000775955-protein8123	10	10	1
GCF-000775955-protein8800	15	15	1
GCF-000775955-protein9667	13	13	1
GCF-000807395-protein1001	6	6	1
GCF-000807395-protein1007	14	14	1
GCF-000807395-protein1036	11	11	1
GCF-000807395-protein1042	13	13	1
GCF-000807395-protein1056	10	10	1
GCF-000807395-protein1067	4	4	1
GCF-000807395-protein1070	16	16	1
GCF-000807395-protein1077	13	13	1
GCF-000807395-protein109	16	16	1
GCF-000807395-protein110	16	16	1
GCF-000807395-protein1114	13	13	1
GCF-000807395-protein1133	16	16	1
GCF-000807395-protein1148	15	15	1
GCF-000807395-protein1164	14	14	1
GCF-000807395-protein1171	12	12	1
GCF-000807395-protein1181	12	12	1
GCF-000807395-protein1186	14	14	1
GCF-000807395-protein1196	13	13	1
GCF-000807395-protein1223	11	11	1
GCF-000807395-protein1245	12	12	1
GCF-000807395-protein1257	13	13	1
GCF-000807395-protein1267	14	14	1
