Gene	Total_alleles	Valid_alleles	Number_representatives
EFAU004_00001	229	133	1
EFAU004_00007	54	40	1
EFAU004_00010	39	22	3
EFAU004_00016	117	57	1
EFAU004_00018	186	133	1
EFAU004_00025	336	249	1
EFAU004_00077	258	190	1
EFAU004_00084	184	148	1
EFAU004_00088	143	104	1
EFAU004_00092	270	223	1
EFAU004_00105	49	35	1
EFAU004_00108	36	30	2
EFAU004_00110	93	77	1
EFAU004_00115	209	162	1
EFAU004_00126	180	115	1
EFAU004_00131	364	253	1
EFAU004_00137	139	99	1
EFAU004_00141	183	151	1
EFAU004_00143	373	259	1
EFAU004_00152	192	142	1
EFAU004_00166	55	49	1
EFAU004_00168	144	108	1
EFAU004_00171	208	155	1
EFAU004_00176	396	287	1
EFAU004_00183	154	110	2
EFAU004_00190	267	177	1
EFAU004_00196	250	153	1
EFAU004_00202	317	218	1
EFAU004_00209	89	78	1
EFAU004_00216	319	229	1
EFAU004_00219	74	57	1
EFAU004_00222	107	59	1
EFAU004_00225	344	225	1
EFAU004_00239	397	283	1
EFAU004_00264	101	67	1
EFAU004_00270	232	130	1
EFAU004_00274	306	208	1
EFAU004_00372	125	66	1
EFAU004_00374	134	105	1
EFAU004_00379	140	109	1
EFAU004_00382	168	118	1
EFAU004_00385	99	83	1
EFAU004_00391	111	92	1
EFAU004_00393	194	147	1
EFAU004_00399	212	132	1
EFAU004_00403	262	177	1
EFAU004_00408	396	288	1
EFAU004_00413	119	78	1
EFAU004_00416	94	67	1
EFAU004_00420	136	97	1
EFAU004_00423	117	74	1
EFAU004_00426	234	130	1
EFAU004_00430	174	110	1
EFAU004_00434	128	78	1
EFAU004_00438	160	110	1
EFAU004_00445	121	90	1
EFAU004_00448	264	177	1
EFAU004_00453	160	101	1
EFAU004_00457	383	250	1
EFAU004_00466	288	176	1
EFAU004_00475	285	195	1
EFAU004_00482	284	196	1
EFAU004_00486	37	27	1
EFAU004_00487	227	162	1
EFAU004_00491	246	155	1
EFAU004_00497	403	289	1
EFAU004_00503	256	121	1
EFAU004_00526	180	107	1
EFAU004_00529	173	105	1
EFAU004_00532	118	110	1
EFAU004_00538	237	174	1
EFAU004_00544	279	177	1
EFAU004_00550	121	102	1
EFAU004_00552	219	127	1
EFAU004_00556	63	49	1
EFAU004_00559	168	123	1
EFAU004_00562	269	237	1
EFAU004_00596	93	75	3
EFAU004_00597	151	99	1
EFAU004_00601	428	335	1
EFAU004_00611	290	196	1
EFAU004_00618	243	171	1
EFAU004_00622	217	156	1
EFAU004_00625	127	91	2
EFAU004_00627	297	187	1
EFAU004_00631	138	114	1
EFAU004_00635	146	112	1
EFAU004_00636	348	255	1
EFAU004_00644	176	130	1
EFAU004_00650	198	175	1
EFAU004_00656	234	158	1
EFAU004_00663	233	166	1
EFAU004_00667	139	109	1
EFAU004_00670	258	199	1
EFAU004_00675	255	183	1
EFAU004_00695	135	113	1
EFAU004_00698	62	53	2
EFAU004_00703	85	78	1
EFAU004_00705	47	34	1
EFAU004_00706	161	101	1
EFAU004_00710	284	212	1
EFAU004_00714	79	66	1
EFAU004_00720	141	106	1
EFAU004_00721	344	241	1
EFAU004_00727	53	33	1
EFAU004_00729	211	152	1
EFAU004_00737	412	314	1
EFAU004_00754	43	34	1
EFAU004_00756	207	109	1
EFAU004_00760	247	170	1
EFAU004_00766	248	170	1
EFAU004_00769	325	176	1
EFAU004_00774	184	151	1
EFAU004_00779	122	74	2
EFAU004_00782	379	234	1
EFAU004_00791	324	224	1
EFAU004_00876	181	106	1
EFAU004_00883	132	93	1
EFAU004_00887	288	206	1
EFAU004_00890	245	185	1
EFAU004_00894	374	270	1
EFAU004_00899	160	134	1
EFAU004_00903	54	42	2
EFAU004_00905	245	191	1
EFAU004_00912	324	231	1
EFAU004_00919	213	167	1
EFAU004_00922	270	187	1
EFAU004_00952	263	194	1
EFAU004_00958	393	283	1
EFAU004_00963	196	96	1
EFAU004_00967	219	169	1
EFAU004_00970	280	218	1
EFAU004_00976	363	281	1
EFAU004_00984	321	200	1
EFAU004_00994	104	81	1
