gene	PC	NDC
GCF-003073735-protein1425.fasta	1	37
GCF-001516325-protein10804.fasta	1	38
GCF-002946935-protein5160.fasta	1	39
GCF-003332705-protein11694.fasta	1	39
GCF-003813025-protein4728.fasta	1	39
GCF-008195485-protein2112.fasta	1	0
GCF-007559065-protein3356.fasta	1	28
GCF-900243355-protein1544.fasta	1	36
GCF-001516165-protein2527.fasta	1	39
GCF-003028335-protein10418.fasta	1	38
GCF-004010895-protein5980.fasta	1	38
GCF-001594325-protein6853.fasta	1	38
GCF-003798105-protein7612.fasta	1	37
GCF-001618925-protein6526.fasta	1	32
GCF-003813025-protein1700.fasta	1	39
GCF-900618285-protein4380.fasta	1	39
GCF-007559105-protein4664.fasta	1	38
GCF-002411865-protein11112.fasta	1	39
GCF-003950015-protein8789.fasta	1	37
GCF-002968755-protein6549.fasta	1	39
GCF-003073895-protein6135.fasta	1	38
GCF-003798125-protein1993.fasta	1	39
GCF-006364795-protein4307.fasta	1	39
GCF-003193645-protein8286.fasta	1	38
GCF-901472545-protein8788.fasta	1	38
GCF-001547955-protein6324.fasta	1	39
GCF-900243355-protein302.fasta	1	39
GCF-002104595-protein2402.fasta	1	38
GCF-003798125-protein5148.fasta	1	39
GCF-002753655-protein11468.fasta	1	39
GCF-900636735-protein9110.fasta	1	38
GCF-001516265-protein9521.fasta	1	38
GCF-009662315-protein8649.fasta	1	29
GCF-003193645-protein9211.fasta	1	38
GCF-006364795-protein2824.fasta	1	39
GCF-006364795-protein2822.fasta	1	39
GCF-003369775-protein5880.fasta	1	22
GCF-003950015-protein9010.fasta	1	27
GCF-003433235-protein9588.fasta	2	38
GCF-003716765-protein3577.fasta	2	38
GCF-009676765-protein8881.fasta	2	38
GCF-003052005-protein813.fasta	2	38
GCF-003060845-protein10274.fasta	2	38
GCF-001548335-protein1069.fasta	2	37
GCF-002208645-protein12907.fasta	2	31
GCF-009662315-protein8645.fasta	2	34
GCF-001729505-protein4323.fasta	2	37
GCF-003950015-protein8053.fasta	2	32
GCF-002223805-protein8635.fasta	2	38
GCF-009662315-protein9858.fasta	2	36
GCF-001547955-protein303.fasta	2	37
GCF-900243355-protein5916.fasta	2	38
GCF-001457615-protein5479.fasta	2	30
GCF-001874465-protein5637.fasta	2	38
GCF-003433235-protein12225.fasta	2	36
GCF-001515915-protein11983.fasta	2	36
GCF-002411865-protein11110.fasta	2	37
GCF-003073795-protein9176.fasta	2	38
GCF-009497675-protein8804.fasta	2	37
GCF-003194245-protein1981.fasta	2	34
GCF-003991465-protein11421.fasta	2	38
GCF-009497675-protein9892.fasta	2	34
GCF-902703195-protein7450.fasta	2	37
GCF-001618925-protein10420.fasta	3	30
GCF-001632245-protein5373.fasta	3	36
GCF-003411785-protein5787.fasta	3	37
GCF-003952325-protein6644.fasta	3	13
GCF-003950015-protein6732.fasta	3	37
GCF-002205375-protein4346.fasta	3	37
GCF-003798105-protein7616.fasta	3	37
GCF-003813025-protein6669.fasta	3	36
GCF-900636735-protein9798.fasta	3	37
GCF-002968515-protein8040.fasta	3	37
GCF-009676765-protein9623.fasta	3	0
GCF-003288335-protein7217.fasta	3	37
GCF-900636755-protein4667.fasta	3	37
GCF-003411785-protein2662.fasta	3	34
GCF-009720405-protein2444.fasta	3	35
GCF-901472565-protein786.fasta	3	37
GCF-901472595-protein6852.fasta	3	0
GCF-002208645-protein12912.fasta	3	36
GCF-002223805-protein11145.fasta	3	30
GCF-009676765-protein8876.fasta	3	37
GCF-001750705-protein9074.fasta	4	36
GCF-003812905-protein3434.fasta	4	36
GCF-001516265-protein8414.fasta	4	36
GCF-001548335-protein4649.fasta	4	36
GCF-001515915-protein11139.fasta	4	36
GCF-002205335-protein1620.fasta	4	30
GCF-003813025-protein1889.fasta	4	31
GCF-003813025-protein301.fasta	4	36
GCF-003950255-protein1790.fasta	4	32
GCF-900636755-protein1315.fasta	4	34
GCF-003433235-protein10921.fasta	4	35
GCF-003571505-protein1414.fasta	4	32
GCF-003950015-protein12127.fasta	4	28
GCF-009676765-protein11515.fasta	4	32
GCF-004010895-protein5946.fasta	4	34
GCF-009676765-protein8853.fasta	4	35
GCF-002208645-protein12913.fasta	4	36
GCF-003429205-protein4369.fasta	4	36
GCF-001516305-protein2485.fasta	4	32
GCF-001594325-protein8564.fasta	4	27
GCF-002812825-protein277.fasta	5	35
GCF-900618255-protein9088.fasta	5	35
GCF-007833895-protein5124.fasta	5	34
GCF-901472565-protein4807.fasta	5	34
