S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
4482115	4482214	3017	3116	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	100.0		False
1993644	1993748	3121	3017	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	98.1		False
4482376	4482485	3096	3206	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	97.3		False
1990204	1990328	3220	3096	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	97.6		False
3497306	3497429	3096	3220	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.2		False
3497045	3497247	3017	3220	Klebsiella_variicola_NZ_CP047360.1	k141_0	96.57		False
4484469	4487375	312	3220	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	98.59		False
3500122	3503029	312	3220	Klebsiella_variicola_NZ_CP047360.1	k141_0	96.43		False
3537154	3549831	4104	16780	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.93		False
3549960	3556948	16744	23735	Klebsiella_variicola_NZ_CP047360.1	k141_0	96.85		False
469904	469995	23771	23862	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	97.83		False
546947	547039	23863	23771	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	97.85		False
547675	547767	23863	23771	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	97.85		False
3557358	3573616	23870	40126	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.55		False
1947390	1969257	45840	23924	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	99.15		False
3574079	3579683	40252	45857	Klebsiella_variicola_NZ_CP047360.1	k141_0	96.18		False
1936473	1936679	46079	45873	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	98.07		False
3599222	3599488	47261	47527	Klebsiella_variicola_NZ_CP047360.1	k141_0	97.0		False
3601159	3603935	49198	51974	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.53		False
3603939	3606457	51978	54496	Klebsiella_variicola_NZ_CP047360.1	k141_0	96.47		False
3613874	3613988	61915	62029	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.65		False
3614134	3614680	62190	62736	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.43		False
2548893	2549033	131586	131726	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	100.0		False
4000922	4001062	131726	131586	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	100.0		False
3633240	3683534	81425	131726	Klebsiella_variicola_NZ_CP047360.1	k141_0	95.0		False
1843379	1927823	131726	47261	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	99.52		False
1990511	1993400	3095	205	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	99.4		True
local misassembly
1988884	1989890	4103	3096	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_0	99.5		True
interspecies translocation
4487863	4530192	4104	46484	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	99.35		True
local misassembly
4530452	4537914	46485	53947	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	99.37		True
relocation, inconsistency = 21502
4559481	4637175	54012	131726	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_0	99.56		True
CONTIG	k141_0	131726	misassembled
211967	213869	1	1903	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_1	99.68	True	True
1224376	1226278	1	1903	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_1	99.63	True	True
1027972	1029874	1	1903	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_1	99.63	True	True
15737	17639	1	1903	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_1	99.63	True	True
5453223	5455126	1903	1	Klebsiella_variicola_NZ_CP047360.1	k141_1	98.95	True	True
5256440	5258343	1903	1	Klebsiella_variicola_NZ_CP047360.1	k141_1	98.79	True	True
CONTIG	k141_1	1903	ambiguous
CONTIG	k141_3	1398	unaligned
321637	321777	1	141	Klebsiella_pneumoniae_CP049891.1	k141_4	100.0		False
2103592	2103732	1	141	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
2176215	2176355	141	1	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
29138	29278	1	141	Klebsiella_pneumoniae_CP049891.1	k141_4	100.0		False
4355042	4355182	141	1	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.29		False
1785025	1787212	142	2329	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.25		False
1787299	1789333	2418	4452	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.22		False
1789349	1790563	4465	5679	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.63		False
1801346	1802392	16476	17522	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.08		False
3076033	3094819	142	18927	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.23		False
1822121	1822205	46364	46448	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
3105551	3105635	46364	46448	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
3096621	3096705	46448	46364	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
3111270	3111354	46364	46448	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
1834753	1834837	46364	46448	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
3429772	3429856	46448	46364	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
1806486	1806570	46448	46364	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
3423696	3423780	46448	46364	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
3460982	3461068	46362	46448	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
1804660	1804848	46365	46553	Klebsiella_variicola_NZ_CP047360.1	k141_4	97.88		False
3094880	3096620	46449	48189	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.14		False
3461069	3462809	48189	46449	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.02		False
1804744	1806485	46449	48189	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.12		False
3462810	3462894	48190	48274	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
3111264	3111367	48280	48177	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.04		False
3423683	3423786	48177	48280	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.04		False
3094757	3094879	48312	48190	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
1804621	1804743	48312	48190	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.37		False
1834714	1834850	48312	48177	Klebsiella_variicola_NZ_CP047360.1	k141_4	97.81		False
3429756	3429896	48174	48313	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	98.58		False
3105511	3105651	48313	48174	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	98.58		False
1822081	1822221	48313	48174	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.58		False
1804850	1806611	46554	48315	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.46		False
3462810	3462894	57203	57119	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
1804621	1804743	57081	57203	Klebsiella_variicola_NZ_CP047360.1	k141_4	99.19		False
3094757	3094879	57081	57203	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.19		False
3423683	3423789	57216	57110	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.07		False
3111261	3111367	57110	57216	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.07		False
1834714	1834850	57081	57216	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.54		False
3460984	3461084	57119	57219	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
3096605	3096744	57219	57080	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.29		False
1806470	1806609	57219	57080	Klebsiella_variicola_NZ_CP047360.1	k141_4	99.29		False
1822112	1822288	57110	57286	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.31		False
3094795	3109230	46364	60798	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.05		False
3109295	3111286	61220	63211	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.35		False
3445078	3445162	78854	78938	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	96.47		False
1804660	1804743	124940	125023	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
3094795	3094879	124939	125023	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
3462810	3464256	125023	123578	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	98.76		False
1806473	1806570	125036	124939	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.98		False
1822121	1822218	124939	125036	Klebsiella_variicola_NZ_CP047360.1	k141_4	98.98		False
3429759	3429856	125036	124939	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	98.98		False
3105551	3105648	124939	125036	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	98.98		False
3096608	3096705	125036	124939	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	98.98		False
5024109	5024184	147278	147203	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
5023965	5024040	147278	147203	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
5023817	5023892	147278	147203	Klebsiella_variicola_NZ_CP047360.1	k141_4	100.0		False
590407	590482	147278	147203	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
438375	438450	147203	147278	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
438227	438302	147203	147278	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
438083	438158	147203	147278	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	100.0		False
590259	590334	147278	147203	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
590699	590774	147278	147203	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
590555	590630	147278	147203	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	100.0		False
1861848	1862112	150785	151049	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.6		False
1876744	1878218	165698	167172	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.39		False
1878219	1881300	167174	170255	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.3		False
1881304	1890860	170259	179815	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.62		False
1901229	1905499	184905	189175	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.74		False
1909985	1910050	193669	193734	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.97		False
1915922	1916007	199601	199686	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.35		False
1916043	1916182	199717	199856	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.0		False
1932482	1932581	216142	216241	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.0		False
1947035	1947799	230701	231465	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.16		False
1947818	1956309	231466	239957	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.41		False
1961849	1963631	245492	247274	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.23		False
1963704	1969812	247347	253455	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.66		False
1971737	1973971	253505	255739	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.24		False
1974163	1975975	255934	257746	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.81		False
1976909	1981076	257770	261937	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.55		False
3286601	3423780	262128	124939	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.51		False
1987560	1989481	262272	264193	Klebsiella_variicola_NZ_CP047360.1	k141_4	95.53		False
1994366	2017144	264337	287101	Klebsiella_variicola_NZ_CP047360.1	k141_4	96.78		False
2023161	2023594	287145	287579	Klebsiella_variicola_NZ_CP047360.1	k141_4	97.24		False
3249616	3281165	262218	293760	Klebsiella_pneumoniae_MGH_43_NZ_KK036953.1	k141_4	99.15		False
3600589	3619507	18919	1	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.15		True
relocation, inconsistency = 110250
3461001	3462896	48257	46362	Klebsiella_pneumoniae_subsp._pneumoniae_NZ_CP047675.1	k141_4	99.11		True
relocation, inconsistency = 22282
