Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	EFAU004_00001	dnaA	1	1335	chromosomal replication initiation protein, DnaA	229	EFAU004_00001.fasta	
	EFAU004_00002	dnaB	1533	1131	DNA polymerase III subunit beta, DnaB	201	EFAU004_00002.fasta	
	EFAU004_00004	recF	3121	1125	recombination protein F, RecF	244	EFAU004_00004.fasta	
	EFAU004_00005	gyrB	4242	1947	DNA gyrase subunit B, GyrB	261	EFAU004_00005.fasta	
	EFAU004_00006	gyrA	6208	2472	DNA gyrase, A subunit, GyrA	365	EFAU004_00006.fasta	
	EFAU004_00007	rpsF	8915	300	30S ribosomal protein S6	54	EFAU004_00007.fasta	
	EFAU004_00008		9264	513	single-strand binding protein	83	EFAU004_00008.fasta	
	EFAU004_00009	rpsR	9802	237	30S ribosomal protein S18	46	EFAU004_00009.fasta	
	EFAU004_00010		10056	105	hypothetical protein	39	EFAU004_00010.fasta	
	EFAU004_00015		13047	1461	DHH family protein	285	EFAU004_00015.fasta	
	EFAU004_00016	rplI	14513	453	50S ribosomal protein L9	117	EFAU004_00016.fasta	
	EFAU004_00017		15239	1368	replicative DNA helicase	210	EFAU004_00017.fasta	
	EFAU004_00018	purA	17386	1293	adenylosuccinate synthetase	186	EFAU004_00018.fasta	
	EFAU004_00022		22355	864	DegV family protein	189	EFAU004_00022.fasta	
	EFAU004_00023	ykpA	23347	1623	ABC transporter ATP-binding protein	321	EFAU004_00023.fasta	
	EFAU004_00024		25218	522	acid-resistance membrane protein	141	EFAU004_00024.fasta	
	EFAU004_00025		25925	1731	pyruvate oxidase	336	EFAU004_00025.fasta	
	EFAU004_00073	guaA	74484	1566	GMP synthase	265	EFAU004_00073.fasta	
	EFAU004_00074	coaA	76108	924	pantothenate kinase	143	EFAU004_00074.fasta	
	EFAU004_00075		77227	606	16S rRNA small subunit methyltransferase C	115	EFAU004_00075.fasta	
	EFAU004_00076		78140	1017	LacI family transcriptional regulator	245	EFAU004_00076.fasta	
	EFAU004_00077	pdp	79297	1302	pyrimidine-nucleoside phosphorylase	258	EFAU004_00077.fasta	
	EFAU004_00078	deoC	80644	663	deoxyribose-phosphate aldolase	148	EFAU004_00078.fasta	
	EFAU004_00079		81327	399	cytidine deaminase	107	EFAU004_00079.fasta	
	EFAU004_00080		81791	1083	Basic membrane lipopprotein	249	EFAU004_00080.fasta	
	EFAU004_00081	yufO	83085	1563	ABC transporter ATP-binding protein	246	EFAU004_00081.fasta	
	EFAU004_00083		85773	957	ABC transporter permease	157	EFAU004_00083.fasta	
	EFAU004_00084	deoB	86828	1167	phosphopentomutase	184	EFAU004_00084.fasta	
	EFAU004_00085		88018	819	purine nucleoside phosphorylase	138	EFAU004_00085.fasta	
	EFAU004_00086		88853	708	purine nucleoside phosphorylase	130	EFAU004_00086.fasta	
