All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                         ERR1795072.contigs  ERR1795073.contigs
# misassemblies                  4                   2                 
  # contig misassemblies         4                   2                 
    # c. relocations             2                   2                 
    # c. translocations          0                   0                 
    # c. inversions              2                   0                 
  # scaffold misassemblies       0                   0                 
    # s. relocations             0                   0                 
    # s. translocations          0                   0                 
    # s. inversions              0                   0                 
# misassembled contigs           3                   1                 
Misassembled contigs length      3318                634               
# possibly misassembled contigs  3                   6                 
    # possible misassemblies     3                   6                 
# local misassemblies            0                   0                 
# scaffold gap ext. mis.         0                   0                 
# scaffold gap loc. mis.         0                   0                 
# unaligned mis. contigs         5                   7                 
# mismatches                     180                 227               
# indels                         18                  18                
    # indels (<= 5 bp)           15                  16                
    # indels (> 5 bp)            3                   2                 
Indels length                    93                  70                
